Issue key,Issue id,Status,Labels,Time Spent,Σ Time Spent
ABTS-7384,24403,Resolved,104-Niobium,1800,1800
ABTS-7383,24385,Resolved,104-Niobium,1800,1800
ABTS-7377,24357,Resolved,202-PPBI_SW_Sustaining_Enhancements,10800,10800
ABTS-7363,24267,Resolved,105-ITC,7200,7200
ABTS-7340,24105,Resolved,102-WLBI_SW_Support,86400,86400
ABTS-7333,24076,Resolved,101-WLBI_HW_Sustaining,7200,7200
ABTS-7267,23958,Resolved,107-ISCB,201600,201600
ABTS-7254,23859,Resolved,107-ISCB,345600,345600
ABTS-7236,23699,Resolved,101-WLBI_HW_Sustaining,1800,1800
ABTS-7202,23288,Resolved,204-Avalon,2400,2400
ABTS-7197,23209,Resolved,203-PPBI_Small_Projects,1200,1200
ABTS-7196,23207,Resolved,107-ISCB,86400,86400
ABTS-7195,23204,Resolved,203-PPBI_Small_Projects,1800,1800
ABTS-7187,23022,Resolved,202-PPBI_SW_Sustaining_Enhancements,1200,1200
ABTS-7181,23010,Resolved,107-ISCB,64800,64800
ABTS-7172,22912,Resolved,202-PPBI_SW_Sustaining_Enhancements,2700,2700
ABTS-7164,22841,Resolved,107-ISCB,600,600
ABTS-7159,22821,Resolved,107-ISCB,86400,86400
ABTS-7157,22819,Resolved,105-ITC,57600,57600
ABTS-7156,22777,Resolved,204-Avalon,600,600
ABTS-7129,21223,Open,102-WLBI_SW_Support,,
ABTS-6946,19854,Resolved,102-WLBI_SW_Support,144000,144000
ABTS-6945,19853,Resolved,102-WLBI_SW_Support,432000,432000
ABTS-6723,19036,Resolved,107-ISCB,115200,115200
ABTS-6553,18415,In Progress,102-WLBI_SW_Support,,
ABTS-6256,17833,Resolved,201-PPBI_Sustaining,1200,1200
ABTS-5552,16127,Resolved,102-WLBI_SW_Support,28800,28800
ABTS-5060,15618,Resolved,201-PPBI_Sustaining,2700,2700
ABTS-5059,15616,Resolved,109-Malibu,1800,1800
ABTS-5058,15613,Resolved,109-Malibu,1800,1800
ABTS-5056,15607,Resolved,108-Sierra_Aligner,3600,3600
ABTS-5055,15605,Resolved,108-Sierra_Aligner,3600,3600
ABTS-5054,15602,Resolved,107-ISCB,7200,7200
ABTS-5053,15599,Resolved,107-ISCB,14400,14400
ABTS-5034,15652,Resolved,106-MVCM,28800,28800
ABTS-4714,15301,Resolved,106-MVCM,300,300
ABTS-4099,14643,Open,102-WLBI_SW_Support,,
